epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,153.833,0.83517,0.67887,1.08729,0.98459,0.98269,0.99398,0.81871,0.59935,0.45057,0.96686,0.000949106,0.000949106,0.000949106
89,155.295,0.95718,0.79949,1.1798,1,0.99603,0.995,0.83345,0.5833,0.42648,0.95224,0.000940855,0.000940855,0.000940855
90,156.791,0.85388,0.70836,1.13691,0.99835,1,0.995,0.83958,0.61231,0.40739,0.96087,0.000932603,0.000932603,0.000932603
91,158.369,0.75209,0.63544,1.08508,0.99544,1,0.995,0.82092,0.64731,0.41485,0.97512,0.000924352,0.000924352,0.000924352
92,159.994,0.82561,0.68405,1.11038,0.98273,0.98462,0.99396,0.84844,0.62936,0.43379,0.9721,0.0009161,0.0009161,0.0009161
93,161.523,1.01602,0.75564,1.34573,0.98268,0.98462,0.99326,0.84177,0.62902,0.40976,0.98083,0.000907848,0.000907848,0.000907848
94,163.059,0.84362,0.71686,1.17144,0.98243,0.98462,0.99243,0.84262,0.64592,0.41169,1.00124,0.000899597,0.000899597,0.000899597
95,164.592,0.99025,0.72695,1.17062,0.99528,0.98462,0.99442,0.84992,0.641,0.43001,0.9938,0.000891345,0.000891345,0.000891345
96,166.118,0.92488,0.76421,1.15591,1,0.99703,0.995,0.84884,0.67096,0.54841,1.02274,0.000883093,0.000883093,0.000883093
97,167.625,1.12695,1.52504,1.35393,1,0.99961,0.995,0.84709,0.69946,0.64687,1.04576,0.000874842,0.000874842,0.000874842
98,169.149,1.3437,1.01193,1.63628,0.99992,1,0.995,0.87003,0.68842,0.67645,1.05996,0.00086659,0.00086659,0.00086659
99,170.747,0.85087,0.72598,1.13304,1,0.99931,0.995,0.87941,0.63994,0.56213,1.03081,0.000858338,0.000858338,0.000858338
100,172.414,0.81975,0.63434,1.11226,0.98376,1,0.99485,0.86812,0.57275,0.42888,0.958,0.000850087,0.000850087,0.000850087
101,173.992,0.75708,0.64339,1.10385,0.98482,0.99809,0.99485,0.86246,0.55562,0.41199,0.94295,0.000841835,0.000841835,0.000841835
102,175.544,0.85075,0.76871,1.21206,0.99749,0.98462,0.9947,0.85545,0.56319,0.40891,0.94785,0.000833583,0.000833583,0.000833583
